pipeline,scene,goal_type,goal_id,trial,success,planning_time_s,wall_time_s,traj_duration_s,error_code
ompl,floor,pose,rand03,3,True,0.176014846,0.3788621559506282,6.643717003,1
ompl,floor,pose,rand04,3,True,0.014134451,0.025212676962837577,3.147938958,1
ompl,floor,pose,rand05,3,True,0.023289019,0.03466856793966144,7.904178291,1
ompl,floor,pose,rand06,3,False,0.0,5.024803991895169,nan,99999
ompl,floor,pose,rand07,3,False,0.0,5.018347845994867,nan,99999
ompl,floor,pose,rand08,3,True,0.014129743,0.02206527895759791,3.761337276,1
ompl,floor,pose,rand09,3,False,0.0,5.024241239996627,nan,99999
ompl,floor,pose,rand10,3,True,0.013937529,0.020786821958608925,4.640011032,1
ompl,floor,pose,rand11,3,False,0.0,5.081219707033597,nan,99999
ompl,floor,joint,home1,4,True,0.005618923,0.010402900050394237,0.0,1
ompl,floor,joint,home2,4,True,0.006545789,0.017935776035301387,7.21059886,1
ompl,floor,joint,home3,4,True,0.005885980000000001,0.013129012077115476,5.211948783,1
ompl,floor,pose,reach0,4,True,0.011758134,0.01954716502223164,2.967465076,1
ompl,floor,pose,reach1,4,True,0.014712685,0.025187816936522722,6.720352758,1
ompl,floor,pose,reach2,4,True,0.013518279999999999,0.03281728189904243,10.09998653,1
ompl,floor,pose,reach3,4,True,0.014798669,0.029236844973638654,10.119578085,1
ompl,floor,pose,rand00,4,False,0.0,5.017158423084766,nan,99999
ompl,floor,pose,rand01,4,True,0.014363404,0.027864990988746285,9.370434973,1
ompl,floor,pose,rand02,4,True,0.01691291,0.02471299096941948,5.088856138,1
ompl,floor,pose,rand03,4,True,0.076650409,0.18458163202740252,9.67891395,1
ompl,floor,pose,rand04,4,True,0.015215414,0.022055195993743837,3.19764991,1
ompl,floor,pose,rand05,4,True,0.016120405,0.02377352095209062,4.622349772,1
ompl,floor,pose,rand06,4,False,0.0,5.02849245397374,nan,99999
ompl,floor,pose,rand07,4,False,0.0,5.023976910044439,nan,99999
ompl,floor,pose,rand08,4,True,0.014219118000000001,0.029522890923544765,10.118082267,1
ompl,floor,pose,rand09,4,False,0.0,5.033238388015889,nan,99999
ompl,floor,pose,rand10,4,True,0.032632208999999995,0.042706483975052834,4.640586735,1
ompl,floor,pose,rand11,4,False,0.0,5.090928755933419,nan,99999
ompl,floor_obstacle,joint,home1,0,True,0.022038765,0.029438403085805476,0.0,1
ompl,floor_obstacle,joint,home2,0,False,0.0,0.019735114998184144,nan,99999
ompl,floor_obstacle,joint,home3,0,False,0.0,0.01860193896573037,nan,99999
ompl,floor_obstacle,pose,reach0,0,True,0.030047681,0.050569528015330434,15.093790815,1
ompl,floor_obstacle,pose,reach1,0,True,0.027637036,0.04795575200114399,11.883645273,1
ompl,floor_obstacle,pose,reach2,0,True,0.042515963000000004,0.06464612600393593,14.665445464,1
ompl,floor_obstacle,pose,reach3,0,True,0.030745706999999997,0.05085414694622159,13.11306116,1
ompl,floor_obstacle,pose,rand00,0,False,0.0,5.024991697981022,nan,99999
ompl,floor_obstacle,pose,rand01,0,True,0.021226198,0.045869264053180814,14.057417635,1
ompl,floor_obstacle,pose,rand02,0,True,0.025524022,0.04470949398819357,12.766472849,1
ompl,floor_obstacle,pose,rand03,0,True,0.027650333,0.08562350692227483,14.676116194,1
ompl,floor_obstacle,pose,rand04,0,True,0.036316918,0.055433847941458225,15.298478161,1
ompl,floor_obstacle,pose,rand05,0,True,0.024035298,0.03898876905441284,12.296359464,1
ompl,floor_obstacle,pose,rand06,0,False,0.0,5.215898699010722,nan,99999
ompl,floor_obstacle,pose,rand07,0,False,0.0,5.018361066002399,nan,99999
ompl,floor_obstacle,pose,rand08,0,True,0.022580233999999998,0.04208344698417932,14.118425328,1
ompl,floor_obstacle,pose,rand09,0,False,0.0,5.033945302013308,nan,99999
ompl,floor_obstacle,pose,rand10,0,True,0.020648718,0.03892531304154545,15.335881452,1
ompl,floor_obstacle,pose,rand11,0,False,0.0,5.0915202419273555,nan,99999
ompl,floor_obstacle,joint,home1,1,True,0.012496724999999998,0.018232353031635284,0.0,1
ompl,floor_obstacle,joint,home2,1,False,0.0,0.01626340695656836,nan,99999
ompl,floor_obstacle,joint,home3,1,False,0.0,0.016084132017567754,nan,99999
ompl,floor_obstacle,pose,reach0,1,True,0.015605415000000001,0.022982187918387353,2.963837357,1
ompl,floor_obstacle,pose,reach1,1,True,0.045271137,0.06893695006147027,14.506101014,1
ompl,floor_obstacle,pose,reach2,1,True,0.033372139,0.051825981005094945,13.943957479,1
ompl,floor_obstacle,pose,reach3,1,True,0.026877206,0.05544551694765687,15.011523136,1
ompl,floor_obstacle,pose,rand00,1,False,0.0,5.016145327012055,nan,99999
ompl,floor_obstacle,pose,rand01,1,True,0.018104033999999998,0.03441933402791619,12.265965144,1
ompl,floor_obstacle,pose,rand02,1,True,0.016464490999999998,0.033832333981990814,13.554279537,1
ompl,floor_obstacle,pose,rand03,1,True,0.22673706600000001,0.4458414459368214,17.029442666,1
ompl,floor_obstacle,pose,rand04,1,True,0.019182789,0.03523390705231577,13.090790104,1
