pipeline,scaling,scene,goal_type,goal_id,trial,success,planning_time_s,wall_time_s,traj_duration_s,error_code
ompl,0.25,floor,joint,home1,0,True,0.011387727,0.013328625936992466,0.0,1
ompl,0.25,floor,joint,home2,0,True,0.005919361,0.014325446099974215,7.214612488,1
ompl,0.25,floor,joint,home3,0,True,0.016678850000000002,0.023783962009474635,5.21358966,1
ompl,0.25,floor,pose,reach0,0,True,0.014919801,0.017842809087596834,2.9832688860000003,1
ompl,0.25,floor,pose,reach1,0,True,0.025940022,0.042672500014305115,11.026021944,1
ompl,0.25,floor,pose,reach2,0,True,0.023981389,0.02770857699215412,2.094053691,1
ompl,0.25,floor,pose,reach3,0,True,0.015566414,0.034665732993744314,10.108850815,1
ompl,0.25,floor,pose,rand00,0,False,0.0,5.016752204042859,nan,99999
ompl,0.25,floor,pose,rand01,0,True,0.016763862,0.02004528301768005,1.836446577,1
ompl,0.25,floor,pose,rand02,0,True,0.015136443,0.019359481055289507,3.9563136510000003,1
ompl,0.25,floor,pose,rand03,0,True,0.219583999,0.2657151520252228,6.867005139,1
ompl,0.25,floor,pose,rand04,0,True,0.014737386,0.02657317090779543,9.39945235,1
ompl,0.25,floor,pose,rand05,0,True,0.015087761,0.021711662993766367,4.660976595,1
ompl,0.25,floor,pose,rand06,0,False,0.0,5.012441816972569,nan,99999
ompl,0.25,floor,pose,rand07,0,False,0.0,5.0276154190069064,nan,99999
ompl,0.25,floor,pose,rand08,0,True,0.022333682,0.027829927043057978,3.7721941660000002,1
ompl,0.25,floor,pose,rand09,0,False,0.0,5.0282278339145705,nan,99999
ompl,0.25,floor,pose,rand10,0,True,0.024183722,0.0358968359651044,10.395039217,1
ompl,0.25,floor,pose,rand11,0,False,0.0,5.063370004063472,nan,99999
ompl,0.25,floor,joint,home1,1,True,0.0036583519999999997,0.0057518830290064216,0.0,1
ompl,0.25,floor,joint,home2,1,True,0.012978662,0.019128393032588065,7.212005295,1
ompl,0.25,floor,joint,home3,1,True,0.013903516999999999,0.01899153704289347,5.213051638,1
ompl,0.25,floor,pose,reach0,1,True,0.023575455000000002,0.03741093794815242,10.472260253,1
ompl,0.25,floor,pose,reach1,1,True,0.023678747,0.026649811072275043,2.767576678,1
ompl,0.25,floor,pose,reach2,1,True,0.023864128999999998,0.03323685808572918,10.095359211,1
ompl,0.25,floor,pose,reach3,1,True,0.02477921,0.03407991700805724,10.170975027,1
ompl,0.25,floor,pose,rand00,1,False,0.0,5.028868395020254,nan,99999
ompl,0.25,floor,pose,rand01,1,True,0.023191416,0.02664382802322507,1.928027528,1
ompl,0.25,floor,pose,rand02,1,True,0.024065160999999998,0.0350574089679867,9.849365189,1
ompl,0.25,floor,pose,rand03,1,True,0.016884087,0.21941036998759955,10.677599723,1
ompl,0.25,floor,pose,rand04,1,True,0.013836138999999999,0.022553101065568626,3.21867727,1
ompl,0.25,floor,pose,rand05,1,True,0.013346511,0.0192104879533872,4.606158419,1
ompl,0.25,floor,pose,rand06,1,False,0.0,5.022919934941456,nan,99999
ompl,0.25,floor,pose,rand07,1,False,0.0,5.0242617970798165,nan,99999
ompl,0.25,floor,pose,rand08,1,True,0.024184546,0.0377660320373252,10.126220992,1
ompl,0.25,floor,pose,rand09,1,False,0.0,5.019153451081365,nan,99999
ompl,0.25,floor,pose,rand10,1,True,0.022923068,0.030574360047467053,7.975804359,1
ompl,0.25,floor,pose,rand11,1,False,0.0,5.1016119470587,nan,99999
ompl,0.25,floor,joint,home1,2,True,0.012045095,0.015493293991312385,0.0,1
ompl,0.25,floor,joint,home2,2,True,0.014960663,0.021572330966591835,7.210941791,1
ompl,0.25,floor,joint,home3,2,True,0.015183383000000002,0.021071269060485065,5.213310536,1
ompl,0.25,floor,pose,reach0,2,True,0.022452944000000002,0.032290705014020205,9.230551597,1
ompl,0.25,floor,pose,reach1,2,True,0.023194411999999998,0.03502401791047305,11.020002407,1
ompl,0.25,floor,pose,reach2,2,True,0.02189376,0.026599181932397187,2.0735791199999998,1
ompl,0.25,floor,pose,reach3,2,True,0.025802537,0.039289924898184836,10.111764299,1
ompl,0.25,floor,pose,rand00,2,False,0.0,5.025816655019298,nan,99999
ompl,0.25,floor,pose,rand01,2,True,0.022617718,0.028999287053011358,1.976274673,1
ompl,0.25,floor,pose,rand02,2,True,0.023980874,0.03894891100935638,9.396154157,1
ompl,0.25,floor,pose,rand03,2,True,0.073536466,0.12396247207652777,6.51107142,1
ompl,0.25,floor,pose,rand04,2,True,0.026256513999999998,0.04955083201639354,14.387115856,1
ompl,0.25,floor,pose,rand05,2,True,0.023984887,0.03241735603660345,4.591931493,1
ompl,0.25,floor,pose,rand06,2,False,0.0,5.022705739946105,nan,99999
ompl,0.25,floor,pose,rand07,2,False,0.0,5.0267629160080105,nan,99999
ompl,0.25,floor,pose,rand08,2,True,0.022995037,0.03791848092805594,9.027846839,1
ompl,0.25,floor,pose,rand09,2,False,0.0,5.030041276011616,nan,99999
ompl,0.25,floor,pose,rand10,2,True,0.023785388,0.03761492494959384,10.120455579,1
ompl,0.25,floor,pose,rand11,2,False,0.0,5.08327033102978,nan,99999
ompl,0.25,floor,joint,home1,3,True,0.011965666,0.014830617001280189,0.0,1
ompl,0.25,floor,joint,home2,3,True,0.015067427,0.023811095976270735,7.214124148,1
ompl,0.25,floor,joint,home3,3,True,0.006508797,0.013392947963438928,5.214231581,1
ompl,0.25,floor,pose,reach0,3,True,0.024754581,0.04012034903280437,8.803286041,1
ompl,0.25,floor,pose,reach1,3,True,0.02171136,0.02670816204044968,2.665962018,1
ompl,0.25,floor,pose,reach2,3,True,0.015261490999999999,0.018537675961852074,2.15209253,1
ompl,0.25,floor,pose,reach3,3,True,0.014731439999999998,0.02205070003401488,3.665384147,1
ompl,0.25,floor,pose,rand00,3,False,0.0,5.024219323997386,nan,99999
ompl,0.25,floor,pose,rand01,3,True,0.002223462,0.006543327937833965,1.908400552,1
ompl,0.25,floor,pose,rand02,3,True,0.022711891,0.03430566203314811,9.381928531,1
ompl,0.25,floor,pose,rand03,3,True,0.37895448499999995,0.4325152829987928,7.266256558,1
ompl,0.25,floor,pose,rand04,3,True,0.023495295,0.027929013944230974,3.095368765,1
ompl,0.25,floor,pose,rand05,3,True,0.023066878000000002,0.037140786997042596,7.910300588,1
ompl,0.25,floor,pose,rand06,3,False,0.0,5.025953451986425,nan,99999
ompl,0.25,floor,pose,rand07,3,False,0.0,5.023392545059323,nan,99999
ompl,0.25,floor,pose,rand08,3,True,0.015045215,0.02869733900297433,10.144813077,1
ompl,0.25,floor,pose,rand09,3,False,0.0,5.028226700029336,nan,99999
ompl,0.25,floor,pose,rand10,3,True,0.025041369,0.051561990985646844,14.904170474,1
ompl,0.25,floor,pose,rand11,3,False,0.0,5.112510976032354,nan,99999
